City,State,Mileage_miles,avg_retail_price_jun2025,forecast_retail_price_jun2026,planned_wholesale_price,Revenue,Base_Shipping_Cost,Shipping_Cost,Acquisition_Cost,Total_Cost,Profit,Profit_Margin
Tampa,FL,2636,1.566,1.566,0.6264000000000001,12528.000000000002,2818.0,2818.0,4000.0,6818.0,5710.000000000002,0.455779054916986
Albany,NY,2832,1.558,1.558,0.6232000000000001,12464.000000000002,2916.0,2916.0,4000.0,6916.0,5548.000000000002,0.44512195121951226
Charlotte,NC,2428,1.524,1.524,0.6096,12192.0,2714.0,2714.0,4000.0,6714.0,5478.0,0.4493110236220472
Grand Rapids,MI,2193,1.508,1.508,0.6032000000000001,12064.000000000002,2596.5,2596.5,4000.0,6596.5,5467.500000000002,0.4532078912466844
Pittsburgh,PA,2445,1.516,1.516,0.6064,12128.000000000002,2722.5,2722.5,4000.0,6722.5,5405.500000000002,0.4457041556728233
Syracuse,NY,2693,1.516,1.516,0.6064,12128.000000000002,2846.5,2846.5,4000.0,6846.5,5281.500000000002,0.43547988126649084
New Orleans,LA,1954,1.4620000000000002,1.4620000000000002,0.5848000000000001,11696.000000000002,2477.0,2477.0,4000.0,6477.0,5219.000000000002,0.4462209302325582
RaleighGreensboro,NC,2557,1.498,1.498,0.5992000000000001,11984.000000000002,2778.5,2778.5,4000.0,6778.5,5205.500000000002,0.43437082777036057
RichmondNorfolk,VA,2632,1.47,1.47,0.588,11760.0,2816.0,2816.0,4000.0,6816.0,4944.0,0.4204081632653061
BaltimoreWashington,MD,2679,1.472,1.472,0.5888,11776.0,2839.5,2839.5,4000.0,6839.5,4936.5,0.4192000679347826
BuffaloRochester,NY,2552,1.462,1.462,0.5848,11696.0,2776.0,2776.0,4000.0,6776.0,4920.0,0.420656634746922
St. Louis,MO,1841,1.41,1.41,0.564,11279.999999999998,2420.5,2420.5,4000.0,6420.5,4859.499999999998,0.4308067375886524
HartfordSpringfield,CT,2906,1.412,1.412,0.5648,11296.0,2953.0,2953.0,4000.0,6953.0,4343.0,0.3844723796033994
