City,State,Mileage_miles,avg_retail_price_jun2025,forecast_retail_price_jun2026,planned_wholesale_price,Revenue,Base_Shipping_Cost,Shipping_Cost,Acquisition_Cost,Total_Cost,Profit,Profit_Margin,Contribution_per_Unit,Contribution_Margin_Ratio,Break_Even_Units,Margin_of_Safety_Units,Margin_of_Safety_Pct,Break_Even_Retail_Price
Indianapolis,IN,2083,1.6620000000000001,1.6620000000000001,0.6648000000000001,13296.000000000002,2541.5,2541.5,4000.0,6541.5,6754.500000000002,0.508009927797834,0.46480000000000005,0.6991576413959085,5467.943201376936,14532.056798623064,0.7266028399311532,0.8176875
Detroit,MI,2296,1.666,1.666,0.6664,13328.0,2648.0,2648.0,4000.0,6648.0,6680.0,0.5012004801920769,0.4664,0.6998799519807923,5677.530017152659,14322.469982847342,0.7161234991423671,0.8310000000000001
Nashville,TN,2022,1.642,1.642,0.6568,13136.000000000002,2511.0,2511.0,4000.0,6511.0,6625.000000000002,0.5043392204628503,0.45680000000000004,0.6954933008526187,5496.93520140105,14503.064798598949,0.7251532399299474,0.813875
Philadelphia,PA,2759,1.654,1.654,0.6616,13232.0,2879.5,2879.5,4000.0,6879.5,6352.5,0.4800861547762999,0.46159999999999995,0.6977025392986699,6238.084922010399,13761.9150779896,0.6880957538994801,0.8599375
New York,NY,2794,1.656,1.656,0.6624,13248.0,2897.0,2897.0,4000.0,6897.0,6351.0,0.479393115942029,0.4624,0.6980676328502415,6265.138408304499,13734.861591695502,0.6867430795847751,0.8621249999999999
DallasFtWorth,TX,1449,1.544,1.544,0.6176,12352.0,2224.5,2224.5,4000.0,6224.5,6127.5,0.4960735103626943,0.4176,0.6761658031088082,5326.8678160919535,14673.132183908046,0.7336566091954023,0.7780625
HarrisburgScranton,PA,2717,1.616,1.616,0.6464000000000001,12928.000000000002,2858.5,2858.5,4000.0,6858.5,6069.500000000002,0.469484839108911,0.4464000000000001,0.6905940594059407,6403.449820788529,13596.55017921147,0.6798275089605735,0.8573125
Chicago,IL,2030,1.568,1.568,0.6272000000000001,12544.000000000002,2515.0,2515.0,4000.0,6515.0,6029.000000000002,0.4806281887755103,0.4272000000000001,0.6811224489795918,5887.1722846441935,14112.827715355807,0.7056413857677903,0.814375
Houston,TX,1656,1.536,1.536,0.6144000000000001,12288.000000000002,2328.0,2328.0,4000.0,6328.0,5960.000000000002,0.48502604166666674,0.41440000000000005,0.6744791666666666,5617.760617760617,14382.239382239382,0.7191119691119692,0.791
Tampa,FL,2636,1.566,1.566,0.6264000000000001,12528.000000000002,2818.0,2818.0,4000.0,6818.0,5710.000000000002,0.455779054916986,0.42640000000000006,0.6807151979565773,6608.818011257034,13391.181988742966,0.6695590994371483,0.85225
Albany,NY,2832,1.558,1.558,0.6232000000000001,12464.000000000002,2916.0,2916.0,4000.0,6916.0,5548.000000000002,0.44512195121951226,0.4232000000000001,0.6790757381258024,6890.359168241965,13109.640831758035,0.6554820415879018,0.8644999999999999
Charlotte,NC,2428,1.524,1.524,0.6096,12192.0,2714.0,2714.0,4000.0,6714.0,5478.0,0.4493110236220472,0.4096,0.6719160104986877,6625.9765625,13374.0234375,0.668701171875,0.8392499999999999
Grand Rapids,MI,2193,1.508,1.508,0.6032000000000001,12064.000000000002,2596.5,2596.5,4000.0,6596.5,5467.500000000002,0.4532078912466844,0.40320000000000006,0.6684350132625995,6439.732142857142,13560.267857142859,0.6780133928571429,0.8245625000000001
Pittsburgh,PA,2445,1.516,1.516,0.6064,12128.000000000002,2722.5,2722.5,4000.0,6722.5,5405.500000000002,0.4457041556728233,0.40640000000000004,0.6701846965699209,6699.06496062992,13300.93503937008,0.665046751968504,0.8403125
Syracuse,NY,2693,1.516,1.516,0.6064,12128.000000000002,2846.5,2846.5,4000.0,6846.5,5281.500000000002,0.43547988126649084,0.40640000000000004,0.6701846965699209,7004.183070866141,12995.81692913386,0.649790846456693,0.8558125
New Orleans,LA,1954,1.4620000000000002,1.4620000000000002,0.5848000000000001,11696.000000000002,2477.0,2477.0,4000.0,6477.0,5219.000000000002,0.4462209302325582,0.3848000000000001,0.6580027359781122,6437.1101871101855,13562.889812889814,0.6781444906444907,0.809625
RaleighGreensboro,NC,2557,1.498,1.498,0.5992000000000001,11984.000000000002,2778.5,2778.5,4000.0,6778.5,5205.500000000002,0.43437082777036057,0.39920000000000005,0.6662216288384513,6960.170340681362,13039.829659318639,0.6519914829659319,0.8473125
RichmondNorfolk,VA,2632,1.47,1.47,0.588,11760.0,2816.0,2816.0,4000.0,6816.0,4944.0,0.4204081632653061,0.38799999999999996,0.6598639455782312,7257.731958762887,12742.268041237112,0.6371134020618556,0.852
BaltimoreWashington,MD,2679,1.472,1.472,0.5888,11776.0,2839.5,2839.5,4000.0,6839.5,4936.5,0.4192000679347826,0.3888,0.6603260869565217,7303.240740740741,12696.75925925926,0.6348379629629629,0.8549375
BuffaloRochester,NY,2552,1.462,1.462,0.5848,11696.0,2776.0,2776.0,4000.0,6776.0,4920.0,0.420656634746922,0.3848,0.6580027359781121,7214.137214137215,12785.862785862784,0.6392931392931392,0.847
St. Louis,MO,1841,1.41,1.41,0.564,11279.999999999998,2420.5,2420.5,4000.0,6420.5,4859.499999999998,0.4308067375886524,0.36399999999999993,0.6453900709219857,6649.725274725276,13350.274725274725,0.6675137362637362,0.8025625
HartfordSpringfield,CT,2906,1.412,1.412,0.5648,11296.0,2953.0,2953.0,4000.0,6953.0,4343.0,0.3844723796033994,0.36479999999999996,0.6458923512747875,8094.8464912280715,11905.153508771928,0.5952576754385964,0.869125
