City,State,Mileage_miles,avg_retail_price_jun2025,forecast_retail_price_jun2026,planned_wholesale_price,Revenue,Base_Shipping_Cost,Shipping_Cost,Acquisition_Cost,Total_Cost,Profit,Profit_Margin
Louisville,KY,2101,1.7079999999999997,1.7079999999999997,0.6831999999999999,13663.999999999998,2550.5,1275.25,4000.0,5275.25,8388.749999999998,0.6139307669789227
Orlando,FL,2617,1.698,1.698,0.6792,13584.0,2808.5,1404.25,4000.0,5404.25,8179.75,0.6021606301531213
Indianapolis,IN,2083,1.6620000000000001,1.6620000000000001,0.6648000000000001,13296.000000000002,2541.5,1270.75,4000.0,5270.75,8025.250000000002,0.6035837845968713
PhoenixTucson,AZ,482,1.61,1.61,0.6440000000000001,12880.000000000002,1741.0,870.5,4000.0,4870.5,8009.500000000002,0.6218555900621119
Detroit,MI,2296,1.666,1.666,0.6664,13328.0,2648.0,1324.0,4000.0,5324.0,8004.0,0.6005402160864346
Nashville,TN,2022,1.642,1.642,0.6568,13136.000000000002,2511.0,1255.5,4000.0,5255.5,7880.500000000002,0.5999162606577345
New York,NY,2794,1.656,1.656,0.6624,13248.0,2897.0,1448.5,4000.0,5448.5,7799.5,0.5887303743961353
Philadelphia,PA,2759,1.654,1.654,0.6616,13232.0,2879.5,1439.75,4000.0,5439.75,7792.25,0.5888943470374849
HarrisburgScranton,PA,2717,1.616,1.616,0.6464000000000001,12928.000000000002,2858.5,1429.25,4000.0,5429.25,7498.750000000002,0.5800394492574258
Chicago,IL,2030,1.568,1.568,0.6272000000000001,12544.000000000002,2515.0,1257.5,4000.0,5257.5,7286.500000000002,0.5808753188775511
DallasFtWorth,TX,1449,1.544,1.544,0.6176,12352.0,2224.5,1112.25,4000.0,5112.25,7239.75,0.5861196567357513
Houston,TX,1656,1.536,1.536,0.6144000000000001,12288.000000000002,2328.0,1164.0,4000.0,5164.0,7124.000000000002,0.5797526041666667
Tampa,FL,2636,1.566,1.566,0.6264000000000001,12528.000000000002,2818.0,1409.0,4000.0,5409.0,7119.000000000002,0.5682471264367817
Albany,NY,2832,1.558,1.558,0.6232000000000001,12464.000000000002,2916.0,1458.0,4000.0,5458.0,7006.000000000002,0.5620988446726574
Charlotte,NC,2428,1.524,1.524,0.6096,12192.0,2714.0,1357.0,4000.0,5357.0,6835.0,0.5606135170603674
Pittsburgh,PA,2445,1.516,1.516,0.6064,12128.000000000002,2722.5,1361.25,4000.0,5361.25,6766.750000000002,0.5579444261213721
Grand Rapids,MI,2193,1.508,1.508,0.6032000000000001,12064.000000000002,2596.5,1298.25,4000.0,5298.25,6765.750000000002,0.560821452254642
Syracuse,NY,2693,1.516,1.516,0.6064,12128.000000000002,2846.5,1423.25,4000.0,5423.25,6704.750000000002,0.5528322889182059
RaleighGreensboro,NC,2557,1.498,1.498,0.5992000000000001,11984.000000000002,2778.5,1389.25,4000.0,5389.25,6594.750000000002,0.5502962283044059
New Orleans,LA,1954,1.4620000000000002,1.4620000000000002,0.5848000000000001,11696.000000000002,2477.0,1238.5,4000.0,5238.5,6457.500000000002,0.5521118331053352
BaltimoreWashington,MD,2679,1.472,1.472,0.5888,11776.0,2839.5,1419.75,4000.0,5419.75,6356.25,0.5397630774456522
RichmondNorfolk,VA,2632,1.47,1.47,0.588,11760.0,2816.0,1408.0,4000.0,5408.0,6352.0,0.5401360544217687
BuffaloRochester,NY,2552,1.462,1.462,0.5848,11696.0,2776.0,1388.0,4000.0,5388.0,6308.0,0.5393296853625171
St. Louis,MO,1841,1.41,1.41,0.564,11279.999999999998,2420.5,1210.25,4000.0,5210.25,6069.749999999998,0.5380984042553191
HartfordSpringfield,CT,2906,1.412,1.412,0.5648,11296.0,2953.0,1476.5,4000.0,5476.5,5819.5,0.5151823654390935
