Date,Average_price($/unit) ,Total_Volume (units),Type,Year,City,State,Mileage (miles)
2015-01-11,$1.27 ,7598,organic,2015,Sacramento, CA,277
2015-01-11,$0.82 ,544667,conventional,2015,San Diego, CA,253
2015-01-11,$1.05 ,20090,organic,2015,San Diego, CA,253
2015-01-11,$1.03 ,916451,conventional,2015,San Francisco, CA,283
2015-01-11,$1.12 ,29677,organic,2015,San Francisco, CA,283
2015-01-11,$1.06 ,527351,conventional,2015,Seattle, WA,1029
2015-01-11,$1.46 ,46687,organic,2015,Seattle, WA,1029
2015-01-11,$1.07 ,70697,conventional,2015,Spokane, WA,1097
2015-01-11,$1.38 ,4781,organic,2015,Spokane, WA,1097
2015-01-11,$1.29 ,164918,conventional,2015,St. Louis, MO,1841
2015-01-11,$1.84 ,3762,organic,2015,St. Louis, MO,1841
2015-01-11,$1.45 ,42017,conventional,2015,Syracuse, NY,2693
2015-01-11,$1.66 ,762,organic,2015,Syracuse, NY,2693
2015-01-11,$1.24 ,235231,conventional,2015,Tampa, FL,2636
2015-01-11,$1.84 ,1259,organic,2015,Tampa, FL,2636
2015-01-18,$1.17 ,44511,conventional,2015,Albany, NY,2832
2015-01-18,$1.93 ,1118,organic,2015,Albany, NY,2832
2015-01-18,$1.11 ,431491,conventional,2015,Atlanta, GA,2199
2015-01-18,$1.86 ,4294,organic,2015,Atlanta, GA,2199
2015-01-18,$1.23 ,657741,conventional,2015,BaltimoreWashington, MD,2679
2015-01-18,$1.41 ,14057,organic,2015,BaltimoreWashington, MD,2679
2015-01-18,$1.08 ,62870,conventional,2015,Boise, ID,827
2015-01-18,$1.44 ,2974,organic,2015,Boise, ID,827
2015-01-18,$1.23 ,401331,conventional,2015,Boston, MA,2998
2015-01-18,$2.00 ,2209,organic,2015,Boston, MA,2998
2015-01-18,$1.52 ,107040,conventional,2015,BuffaloRochester, NY,2552
2015-01-18,$1.64 ,1427,organic,2015,BuffaloRochester, NY,2552
2015-01-18,$1.25 ,152671,conventional,2015,Charlotte, NC,2428
2015-01-18,$2.15 ,2698,organic,2015,Charlotte, NC,2428
2015-01-18,$1.14 ,797741,conventional,2015,Chicago, IL,2030
2015-01-18,$1.81 ,12500,organic,2015,Chicago, IL,2030
2015-01-18,$0.93 ,175681,conventional,2015,CincinnatiDayton, OH,2190
2015-01-18,$1.37 ,10051,organic,2015,CincinnatiDayton, OH,2190
2015-01-18,$1.02 ,116450,conventional,2015,Columbus, OH,2261
2015-01-18,$1.84 ,4027,organic,2015,Columbus, OH,2261
2015-01-18,$0.76 ,1091677,conventional,2015,DallasFtWorth, TX,1449
2015-01-18,$1.28 ,12635,organic,2015,DallasFtWorth, TX,1449
2015-01-18,$0.99 ,808194,conventional,2015,Denver, CO,1032
2015-01-18,$1.10 ,42235,organic,2015,Denver, CO,1032
2015-01-18,$1.10 ,291788,conventional,2015,Detroit, MI,2296
2015-01-18,$1.90 ,7657,organic,2015,Detroit, MI,2296
2015-01-18,$1.07 ,150201,conventional,2015,Grand Rapids, MI,2193
2015-01-18,$1.88 ,706,organic,2015,Grand Rapids, MI,2193
2015-01-18,$1.24 ,182605,conventional,2015,HarrisburgScranton, PA,2717
2015-01-18,$1.94 ,1356,organic,2015,HarrisburgScranton, PA,2717
2015-01-18,$1.39 ,229216,conventional,2015,HartfordSpringfield, CT,2906
2015-01-18,$2.35 ,2552,organic,2015,HartfordSpringfield, CT,2906
2015-01-18,$0.77 ,1017854,conventional,2015,Houston, TX,1656
2015-01-18,$1.20 ,9980,organic,2015,Houston, TX,1656
2015-01-18,$1.14 ,149320,conventional,2015,Indianapolis, IN,2083
2015-01-18,$1.96 ,1084,organic,2015,Indianapolis, IN,2083
2015-01-18,$1.27 ,99496,conventional,2015,Jacksonville, FL,2440
2015-01-18,$1.82 ,1403,organic,2015,Jacksonville, FL,2440
2015-01-18,$1.06 ,233186,conventional,2015,Las Vegas, NV,286
2015-01-18,$1.63 ,6032,organic,2015,Las Vegas, NV,286
2015-01-18,$0.89 ,2800680,conventional,2015,Los Angeles, CA,111
2015-01-18,$1.29 ,43649,organic,2015,Los Angeles, CA,111
2015-01-18,$1.06 ,85580,conventional,2015,Louisville, KY,2101
2015-01-18,$1.79 ,1107,organic,2015,Louisville, KY,2101
2015-01-18,$1.08 ,143465,conventional,2015,Nashville, TN,2022
2015-01-18,$1.81 ,3119,organic,2015,Nashville, TN,2022
2015-01-18,$1.03 ,267666,conventional,2015,New Orleans, LA,1954
2015-01-18,$0.98 ,4739,organic,2015,New Orleans, LA,1954
2015-01-18,$1.37 ,1044281,conventional,2015,New York, NY,2794
2015-01-18,$2.08 ,9205,organic,2015,New York, NY,2794
2015-01-18,$1.33 ,191078,conventional,2015,Orlando, FL,2617
2015-01-18,$1.79 ,2152,organic,2015,Orlando, FL,2617
2015-01-18,$1.40 ,331495,conventional,2015,Philadelphia, PA,2759
2015-01-18,$1.93 ,1699,organic,2015,Philadelphia, PA,2759
2015-01-18,$0.67 ,1088609,conventional,2015,PhoenixTucson, AZ,482
2015-01-18,$1.36 ,12252,organic,2015,PhoenixTucson, AZ,482
2015-01-18,$1.47 ,59312,conventional,2015,Pittsburgh, PA,2445
2015-01-18,$1.55 ,3448,organic,2015,Pittsburgh, PA,2445
2015-01-18,$1.11 ,439618,conventional,2015,Portland, OR,855
2015-01-18,$1.24 ,51904,organic,2015,Portland, OR,855
2015-01-18,$1.22 ,204505,conventional,2015,RaleighGreensboro, NC,2557
2015-01-18,$1.97 ,3496,organic,2015,RaleighGreensboro, NC,2557
2015-01-18,$1.18 ,179038,conventional,2015,RichmondNorfolk, VA,2632
2015-01-18,$1.62 ,3481,organic,2015,RichmondNorfolk, VA,2632
2015-01-18,$1.22 ,367047,conventional,2015,Sacramento, CA,277
2015-01-18,$1.13 ,37233,organic,2015,Sacramento, CA,277
2015-01-18,$1.01 ,461064,conventional,2015,San Diego, CA,253
2015-01-18,$1.29 ,14474,organic,2015,San Diego, CA,253
2015-01-18,$1.22 ,753747,conventional,2015,San Francisco, CA,283
2015-01-18,$1.27 ,41482,organic,2015,San Francisco, CA,283
2015-01-18,$1.20 ,463473,conventional,2015,Seattle, WA,1029
2015-01-18,$1.45 ,44616,organic,2015,Seattle, WA,1029
2015-01-18,$1.18 ,69600,conventional,2015,Spokane, WA,1097
2015-01-18,$1.44 ,4363,organic,2015,Spokane, WA,1097
2015-01-18,$1.28 ,170591,conventional,2015,St. Louis, MO,1841
2015-01-18,$1.92 ,2923,organic,2015,St. Louis, MO,1841
2015-01-18,$1.40 ,40392,conventional,2015,Syracuse, NY,2693
2015-01-18,$1.84 ,628,organic,2015,Syracuse, NY,2693
2015-01-18,$1.27 ,228921,conventional,2015,Tampa, FL,2636
2015-01-18,$1.73 ,1751,organic,2015,Tampa, FL,2636
2015-01-25,$1.06 ,45148,conventional,2015,Albany, NY,2832
2015-01-25,$1.89 ,1116,organic,2015,Albany, NY,2832
2015-01-25,$1.10 ,449333,conventional,2015,Atlanta, GA,2199
2015-01-25,$1.87 ,3047,organic,2015,Atlanta, GA,2199
2015-01-25,$1.20 ,692934,conventional,2015,BaltimoreWashington, MD,2679
2015-01-25,$1.41 ,15388,organic,2015,BaltimoreWashington, MD,2679
2015-01-25,$1.03 ,66069,conventional,2015,Boise, ID,827
2015-01-25,$1.82 ,1175,organic,2015,Boise, ID,827
2015-01-25,$1.17 ,409344,conventional,2015,Boston, MA,2998
2015-01-25,$2.01 ,1948,organic,2015,Boston, MA,2998
2015-01-25,$1.50 ,114053,conventional,2015,BuffaloRochester, NY,2552
2015-01-25,$1.60 ,1481,organic,2015,BuffaloRochester, NY,2552
2015-01-25,$1.18 ,167270,conventional,2015,Charlotte, NC,2428
2015-01-25,$2.29 ,2694,organic,2015,Charlotte, NC,2428
2015-01-25,$1.22 ,745439,conventional,2015,Chicago, IL,2030
2015-01-25,$1.83 ,10952,organic,2015,Chicago, IL,2030
2015-01-25,$0.93 ,213554,conventional,2015,CincinnatiDayton, OH,2190
2015-01-25,$1.26 ,10192,organic,2015,CincinnatiDayton, OH,2190
2015-01-25,$1.08 ,116996,conventional,2015,Columbus, OH,2261
2015-01-25,$1.67 ,4848,organic,2015,Columbus, OH,2261
2015-01-25,$0.80 ,1008295,conventional,2015,DallasFtWorth, TX,1449
2015-01-25,$1.34 ,11248,organic,2015,DallasFtWorth, TX,1449
2015-01-25,$1.02 ,695659,conventional,2015,Denver, CO,1032
2015-01-25,$1.33 ,22503,organic,2015,Denver, CO,1032
2015-01-25,$1.19 ,277325,conventional,2015,Detroit, MI,2296
2015-01-25,$1.62 ,8704,organic,2015,Detroit, MI,2296
2015-01-25,$1.19 ,144302,conventional,2015,Grand Rapids, MI,2193
2015-01-25,$2.01 ,712,organic,2015,Grand Rapids, MI,2193
2015-01-25,$1.17 ,206074,conventional,2015,HarrisburgScranton, PA,2717
2015-01-25,$1.80 ,2172,organic,2015,HarrisburgScranton, PA,2717
2015-01-25,$1.35 ,241174,conventional,2015,HartfordSpringfield, CT,2906
2015-01-25,$2.21 ,1920,organic,2015,HartfordSpringfield, CT,2906
2015-01-25,$0.77 ,983911,conventional,2015,Houston, TX,1656
2015-01-25,$1.24 ,11399,organic,2015,Houston, TX,1656
2015-01-25,$1.06 ,149474,conventional,2015,Indianapolis, IN,2083
2015-01-25,$1.78 ,1221,organic,2015,Indianapolis, IN,2083
2015-01-25,$1.20 ,109941,conventional,2015,Jacksonville, FL,2440
2015-01-25,$1.88 ,1140,organic,2015,Jacksonville, FL,2440
2015-01-25,$1.06 ,249510,conventional,2015,Las Vegas, NV,286
2015-01-25,$1.66 ,5759,organic,2015,Las Vegas, NV,286
2015-01-25,$0.96 ,2329987,conventional,2015,Los Angeles, CA,111
2015-01-25,$1.23 ,38078,organic,2015,Los Angeles, CA,111
2015-01-25,$1.02 ,86635,conventional,2015,Louisville, KY,2101
2015-01-25,$1.68 ,1201,organic,2015,Louisville, KY,2101
2015-01-25,$1.07 ,140855,conventional,2015,Nashville, TN,2022
2015-01-25,$1.71 ,4449,organic,2015,Nashville, TN,2022
2015-01-25,$0.94 ,271448,conventional,2015,New Orleans, LA,1954
2015-01-25,$1.47 ,1278,organic,2015,New Orleans, LA,1954
2015-01-25,$1.36 ,1102868,conventional,2015,New York, NY,2794
2015-01-25,$2.02 ,14337,organic,2015,New York, NY,2794
2015-01-25,$1.28 ,211991,conventional,2015,Orlando, FL,2617
2015-01-25,$1.82 ,1925,organic,2015,Orlando, FL,2617
2015-01-25,$1.36 ,355646,conventional,2015,Philadelphia, PA,2759
2015-01-25,$1.82 ,2889,organic,2015,Philadelphia, PA,2759
2015-01-25,$0.61 ,1233503,conventional,2015,PhoenixTucson, AZ,482
2015-01-25,$1.54 ,10849,organic,2015,PhoenixTucson, AZ,482
2015-01-25,$1.32 ,98723,conventional,2015,Pittsburgh, PA,2445
2015-01-25,$1.70 ,1441,organic,2015,Pittsburgh, PA,2445
2015-01-25,$1.09 ,432770,conventional,2015,Portland, OR,855
2015-01-25,$1.35 ,30863,organic,2015,Portland, OR,855
2015-01-25,$1.16 ,233277,conventional,2015,RaleighGreensboro, NC,2557
2015-01-25,$2.02 ,3360,organic,2015,RaleighGreensboro, NC,2557
2015-01-25,$1.17 ,194086,conventional,2015,RichmondNorfolk, VA,2632
2015-01-25,$1.57 ,3860,organic,2015,RichmondNorfolk, VA,2632
2015-01-25,$1.19 ,360028,conventional,2015,Sacramento, CA,277
2015-01-25,$1.44 ,9708,organic,2015,Sacramento, CA,277
2015-01-25,$1.02 ,406591,conventional,2015,San Diego, CA,253
2015-01-25,$1.26 ,11132,organic,2015,San Diego, CA,253
2015-01-25,$1.21 ,713523,conventional,2015,San Francisco, CA,283
2015-01-25,$1.34 ,27147,organic,2015,San Francisco, CA,283
2015-01-25,$1.26 ,420124,conventional,2015,Seattle, WA,1029
2015-01-25,$1.70 ,29355,organic,2015,Seattle, WA,1029
2015-01-25,$1.21 ,64117,conventional,2015,Spokane, WA,1097
2015-01-25,$1.66 ,3314,organic,2015,Spokane, WA,1097
2015-01-25,$1.17 ,176820,conventional,2015,St. Louis, MO,1841
2015-01-25,$1.93 ,4132,organic,2015,St. Louis, MO,1841
2015-01-25,$1.37 ,44518,conventional,2015,Syracuse, NY,2693
2015-01-25,$1.77 ,845,organic,2015,Syracuse, NY,2693
2015-01-25,$1.21 ,260471,conventional,2015,Tampa, FL,2636
2015-01-25,$1.75 ,1460,organic,2015,Tampa, FL,2636
2015-02-01,$0.99 ,70874,conventional,2015,Albany, NY,2832
2015-02-01,$1.83 ,1229,organic,2015,Albany, NY,2832
2015-02-01,$0.96 ,636771,conventional,2015,Atlanta, GA,2199
2015-02-01,$1.44 ,7666,organic,2015,Atlanta, GA,2199
2015-02-01,$1.06 ,1007419,conventional,2015,BaltimoreWashington, MD,2679
2015-02-01,$1.15 ,27930,organic,2015,BaltimoreWashington, MD,2679
2015-02-01,$0.91 ,113578,conventional,2015,Boise, ID,827
2015-02-01,$1.43 ,1781,organic,2015,Boise, ID,827
2015-02-01,$1.22 ,490022,conventional,2015,Boston, MA,2998
2015-02-01,$1.78 ,2944,organic,2015,Boston, MA,2998
2015-02-01,$1.33 ,153920,conventional,2015,BuffaloRochester, NY,2552
2015-02-01,$1.55 ,2809,organic,2015,BuffaloRochester, NY,2552
2015-02-01,$0.98 ,254010,conventional,2015,Charlotte, NC,2428
2015-02-01,$1.93 ,3557,organic,2015,Charlotte, NC,2428
2015-02-01,$0.91 ,1133492,conventional,2015,Chicago, IL,2030
2015-02-01,$1.52 ,14391,organic,2015,Chicago, IL,2030
2015-02-01,$0.86 ,300905,conventional,2015,CincinnatiDayton, OH,2190
2015-02-01,$1.19 ,10708,organic,2015,CincinnatiDayton, OH,2190
2015-02-01,$0.87 ,216653,conventional,2015,Columbus, OH,2261
2015-02-01,$1.63 ,4216,organic,2015,Columbus, OH,2261
2015-02-01,$0.68 ,1391089,conventional,2015,DallasFtWorth, TX,1449
2015-02-01,$1.24 ,12277,organic,2015,DallasFtWorth, TX,1449
2015-02-01,$0.93 ,990212,conventional,2015,Denver, CO,1032
2015-02-01,$1.29 ,27528,organic,2015,Denver, CO,1032
2015-02-01,$0.92 ,539751,conventional,2015,Detroit, MI,2296
2015-02-01,$1.55 ,8708,organic,2015,Detroit, MI,2296
2015-02-01,$0.94 ,309472,conventional,2015,Grand Rapids, MI,2193
2015-02-01,$1.98 ,769,organic,2015,Grand Rapids, MI,2193
2015-02-01,$1.06 ,283138,conventional,2015,HarrisburgScranton, PA,2717
2015-02-01,$1.65 ,3796,organic,2015,HarrisburgScranton, PA,2717
2015-02-01,$1.32 ,297969,conventional,2015,HartfordSpringfield, CT,2906
2015-02-01,$1.54 ,6084,organic,2015,HartfordSpringfield, CT,2906
2015-02-01,$0.72 ,1280364,conventional,2015,Houston, TX,1656
2015-02-01,$1.15 ,12286,organic,2015,Houston, TX,1656
2015-02-01,$0.92 ,245353,conventional,2015,Indianapolis, IN,2083
2015-02-01,$1.69 ,1565,organic,2015,Indianapolis, IN,2083
2015-02-01,$0.92 ,237911,conventional,2015,Jacksonville, FL,2440
2015-02-01,$1.76 ,1592,organic,2015,Jacksonville, FL,2440
2015-02-01,$0.94 ,370223,conventional,2015,Las Vegas, NV,286
2015-02-01,$1.60 ,7634,organic,2015,Las Vegas, NV,286
2015-02-01,$0.74 ,4031949,conventional,2015,Los Angeles, CA,111
2015-02-01,$1.12 ,50107,organic,2015,Los Angeles, CA,111
2015-02-01,$0.90 ,125505,conventional,2015,Louisville, KY,2101
2015-02-01,$1.55 ,1336,organic,2015,Louisville, KY,2101
2015-02-01,$0.94 ,221471,conventional,2015,Nashville, TN,2022
2015-02-01,$1.65 ,4205,organic,2015,Nashville, TN,2022
2015-02-01,$0.81 ,367712,conventional,2015,New Orleans, LA,1954
2015-02-01,$1.48 ,2013,organic,2015,New Orleans, LA,1954
2015-02-01,$1.36 ,1433763,conventional,2015,New York, NY,2794
2015-02-01,$1.93 ,24698,organic,2015,New York, NY,2794
2015-02-01,$0.95 ,489225,conventional,2015,Orlando, FL,2617
2015-02-01,$1.76 ,2500,organic,2015,Orlando, FL,2617
2015-02-01,$1.14 ,569305,conventional,2015,Philadelphia, PA,2759
2015-02-01,$1.69 ,4907,organic,2015,Philadelphia, PA,2759
2015-02-01,$0.56 ,1544751,conventional,2015,PhoenixTucson, AZ,482
2015-02-01,$1.18 ,13646,organic,2015,PhoenixTucson, AZ,482
2015-02-01,$1.25 ,112066,conventional,2015,Pittsburgh, PA,2445
2015-02-01,$1.77 ,1427,organic,2015,Pittsburgh, PA,2445
2015-02-01,$0.98 ,776238,conventional,2015,Portland, OR,855
2015-02-01,$1.20 ,39673,organic,2015,Portland, OR,855
2015-02-01,$0.99 ,344289,conventional,2015,RaleighGreensboro, NC,2557
2015-02-01,$1.79 ,4385,organic,2015,RaleighGreensboro, NC,2557
2015-02-01,$0.97 ,308461,conventional,2015,RichmondNorfolk, VA,2632
2015-02-01,$1.58 ,3917,organic,2015,RichmondNorfolk, VA,2632
2015-02-01,$1.04 ,771975,conventional,2015,Sacramento, CA,277
2015-02-01,$1.22 ,13196,organic,2015,Sacramento, CA,277
2015-02-01,$0.85 ,692276,conventional,2015,San Diego, CA,253
2015-02-01,$1.11 ,18624,organic,2015,San Diego, CA,253
